Name,Age,Position,Nationality,Market Value,Club Name
Robin Zentner,30,Goalkeeper,Germany,€4.00m,1.FSV Mainz 05
Daniel Batz,34,Goalkeeper,Germany,€350k,1.FSV Mainz 05
Lasse Rieß,23,Goalkeeper,Germany,€200k,1.FSV Mainz 05
Moritz Jenz,26,Centre-Back,Germany / Nigeria,€6.00m,1.FSV Mainz 05
Andreas Hanche-Olsen,28,Centre-Back,Norway,€6.00m,1.FSV Mainz 05
Maxim Leitsch,26,Centre-Back,Germany,€2.00m,1.FSV Mainz 05
Danny da Costa,31,Centre-Back,Germany / Angola,€1.50m,1.FSV Mainz 05
Stefan Bell,33,Centre-Back,Germany,€800k,1.FSV Mainz 05
Maxim Dal,19,Centre-Back,Germany / Türkiye,€150k,1.FSV Mainz 05
Phillipp Mwene,31,Left-Back,Austria / Kenya,€1.80m,1.FSV Mainz 05
Silvan Widmer,32,Right-Back,Switzerland,€1.50m,1.FSV Mainz 05
Nikolas Veratschnig,22,Right-Back,Austria,€800k,1.FSV Mainz 05
Kaishu Sano,24,Defensive Midfield,Japan,€17.00m,1.FSV Mainz 05
Lennard Maloney,25,Defensive Midfield,United States / Germany,€5.00m,1.FSV Mainz 05
Dominik Kohr,31,Defensive Midfield,Germany,€3.50m,1.FSV Mainz 05
Nadiem Amiri,28,Central Midfield,Germany,€18.00m,1.FSV Mainz 05
Anthony Caci,27,Right Midfield,France,€10.00m,1.FSV Mainz 05
Paul Nebel,22,Attacking Midfield,Germany / Ireland,€17.00m,1.FSV Mainz 05
Hyun-seok Hong,25,Attacking Midfield,"Korea, South",€3.50m,1.FSV Mainz 05
Jae-sung Lee,32,Attacking Midfield,"Korea, South",€2.50m,1.FSV Mainz 05
Arnaud Nordin,26,Right Winger,France / Martinique,€6.00m,1.FSV Mainz 05
Armindo Sieb,22,Second Striker,Germany / Mozambique,€4.00m,1.FSV Mainz 05
Jonathan Burkardt,24,Centre-Forward,Germany,€35.00m,1.FSV Mainz 05
Nelson Weiper,20,Centre-Forward,Germany / Albania,€6.00m,1.FSV Mainz 05
Moritz Nicolas,27,Goalkeeper,Germany,€5.00m,Borussia Mönchengladbach
Jonas Omlin,31,Goalkeeper,Switzerland,€2.50m,Borussia Mönchengladbach
Tobias Sippel,37,Goalkeeper,Germany,€300k,Borussia Mönchengladbach
Tiago Pereira Cardoso,19,Goalkeeper,Luxembourg / Portugal,€300k,Borussia Mönchengladbach
Ko Itakura,28,Centre-Back,Japan,€12.00m,Borussia Mönchengladbach
Nico Elvedi,28,Centre-Back,Switzerland,€8.00m,Borussia Mönchengladbach
Marvin Friedrich,29,Centre-Back,Germany,€3.50m,Borussia Mönchengladbach
Fabio Chiarodia,19,Centre-Back,Italy / Germany,€2.00m,Borussia Mönchengladbach
Lukas Ullrich,21,Left-Back,Germany,€8.00m,Borussia Mönchengladbach
Luca Netz,21,Left-Back,Germany,€7.00m,Borussia Mönchengladbach
Joe Scally,22,Right-Back,United States,€10.00m,Borussia Mönchengladbach
Stefan Lainer,32,Right-Back,Austria,€1.80m,Borussia Mönchengladbach
Julian Weigl,29,Defensive Midfield,Germany,€6.00m,Borussia Mönchengladbach
Niklas Swider,18,Defensive Midfield,Germany,-,Borussia Mönchengladbach
Rocco Reitz,22,Central Midfield,Germany,€15.00m,Borussia Mönchengladbach
Philipp Sander,27,Central Midfield,Germany,€4.00m,Borussia Mönchengladbach
Florian Neuhaus,28,Central Midfield,Germany,€3.50m,Borussia Mönchengladbach
Kevin Stöger,31,Attacking Midfield,Austria,€4.50m,Borussia Mönchengladbach
Robin Hack,26,Left Winger,Germany,€10.00m,Borussia Mönchengladbach
Yvandro Borges Sanches,20,Left Winger,Luxembourg / Cape Verde,€500k,Borussia Mönchengladbach
Franck Honorat,28,Right Winger,France,€12.00m,Borussia Mönchengladbach
Nathan Ngoumou,25,Right Winger,Cameroon / France,€4.00m,Borussia Mönchengladbach
Tim Kleindienst,29,Centre-Forward,Germany,€17.00m,Borussia Mönchengladbach
Alassane Pléa,32,Centre-Forward,France / Mali,€6.00m,Borussia Mönchengladbach
Tomas Cvancara,24,Centre-Forward,Czech Republic,€4.00m,Borussia Mönchengladbach
Shio Fukuda,21,Centre-Forward,Japan,€500k,Borussia Mönchengladbach
Alexander Nübel,28,Goalkeeper,Germany,€12.00m,VfB Stuttgart
Dennis Seimen,19,Goalkeeper,Germany / Romania,€1.50m,VfB Stuttgart
Fabian Bredlow,30,Goalkeeper,Germany,€1.00m,VfB Stuttgart
Stefan Drljaca,26,Goalkeeper,Germany / Serbia,€325k,VfB Stuttgart
Jeff Chabot,27,Centre-Back,Germany / France,€12.00m,VfB Stuttgart
Finn Jeltsch,18,Centre-Back,Germany,€12.00m,VfB Stuttgart
Ameen Al-Dakhil,23,Centre-Back,Belgium / Iraq,€7.50m,VfB Stuttgart
Luca Jaquez,21,Centre-Back,Switzerland / Dominican Republic,€6.00m,VfB Stuttgart
Dan-Axel Zagadou,25,Centre-Back,France / Cote d'Ivoire,€6.00m,VfB Stuttgart
Anrie Chase,21,Centre-Back,Japan / United States,€4.00m,VfB Stuttgart
Maximilian Mittelstädt,28,Left-Back,Germany,€20.00m,VfB Stuttgart
Ramon Hendriks,23,Left-Back,Netherlands,€5.00m,VfB Stuttgart
Josha Vagnoman,24,Right-Back,Germany / Cote d'Ivoire,€12.00m,VfB Stuttgart
Leonidas Stergiou,23,Right-Back,Switzerland / Greece,€5.00m,VfB Stuttgart
Pascal Stenzel,29,Right-Back,Germany,€2.50m,VfB Stuttgart
Angelo Stiller,24,Defensive Midfield,Germany,€38.00m,VfB Stuttgart
Atakan Karazor,28,Defensive Midfield,Türkiye / Germany,€12.00m,VfB Stuttgart
Yannik Keitel,25,Defensive Midfield,Germany,€3.50m,VfB Stuttgart
Nikolas Nartey,25,Central Midfield,Denmark / Ghana,€400k,VfB Stuttgart
Enzo Millot,22,Attacking Midfield,France / Martinique,€35.00m,VfB Stuttgart
Chris Führich,27,Left Winger,Germany,€18.00m,VfB Stuttgart
Jacob Bruun Larsen,26,Left Winger,Denmark,€6.00m,VfB Stuttgart
Justin Diehl,20,Left Winger,Germany / Ghana,€3.50m,VfB Stuttgart
Jamie Leweling,24,Right Winger,Germany / Ghana,€20.00m,VfB Stuttgart
Fabian Rieder,23,Right Winger,Switzerland,€7.00m,VfB Stuttgart
Luca Raimund,20,Right Winger,Germany,€500k,VfB Stuttgart
Nick Woltemade,23,Second Striker,Germany,€17.00m,VfB Stuttgart
Ermedin Demirovic,27,Centre-Forward,Bosnia-Herzegovina,€22.00m,VfB Stuttgart
Deniz Undav,28,Centre-Forward,Germany / Türkiye,€22.00m,VfB Stuttgart
El Bilal Touré,23,Centre-Forward,Mali / Cote d'Ivoire,€17.00m,VfB Stuttgart
Wahid Faghir,21,Centre-Forward,Denmark / Afghanistan,€1.00m,VfB Stuttgart
Thomas Kastanaras,22,Centre-Forward,Germany / Greece,€500k,VfB Stuttgart
Oliver Baumann,34,Goalkeeper,Germany,€3.00m,TSG 1899 Hoffenheim
Luca Philipp,24,Goalkeeper,Germany,€750k,TSG 1899 Hoffenheim
Jakob Busk,31,Goalkeeper,Denmark,€250k,TSG 1899 Hoffenheim
Lúkas Petersson,21,Goalkeeper,Iceland / Germany,€150k,TSG 1899 Hoffenheim
Ozan Kabak,25,Centre-Back,Türkiye,€7.50m,TSG 1899 Hoffenheim
Leo Østigård,25,Centre-Back,Norway,€7.00m,TSG 1899 Hoffenheim
Robin Hranac,25,Centre-Back,Czech Republic,€3.50m,TSG 1899 Hoffenheim
Arthur Chaves,24,Centre-Back,Brazil,€3.00m,TSG 1899 Hoffenheim
Kevin Akpoguma,30,Centre-Back,Nigeria / Germany,€2.50m,TSG 1899 Hoffenheim
Stanley Nsoki,26,Centre-Back,France / DR Congo,€2.50m,TSG 1899 Hoffenheim
David Jurásek,24,Left-Back,Czech Republic,€7.00m,TSG 1899 Hoffenheim
Alexander Prass,23,Left-Back,Austria,€6.50m,TSG 1899 Hoffenheim
Christopher Lenz,30,Left-Back,Germany,€800k,TSG 1899 Hoffenheim
Valentin Gendrey,24,Right-Back,France / Guadeloupe,€8.50m,TSG 1899 Hoffenheim
Pavel Kaderabek,33,Right-Back,Czech Republic,€2.50m,TSG 1899 Hoffenheim
Anton Stach,26,Defensive Midfield,Germany,€14.00m,TSG 1899 Hoffenheim
Diadié Samassékou,29,Defensive Midfield,Mali,€1.00m,TSG 1899 Hoffenheim
Tom Bischof,19,Central Midfield,Germany,€25.00m,TSG 1899 Hoffenheim
Umut Tohumcu,20,Central Midfield,Germany / Türkiye,€7.00m,TSG 1899 Hoffenheim
Grischa Prömel,30,Central Midfield,Germany,€4.50m,TSG 1899 Hoffenheim
Dennis Geiger,26,Central Midfield,Germany,€3.00m,TSG 1899 Hoffenheim
Finn Becker,24,Central Midfield,Germany,€2.00m,TSG 1899 Hoffenheim
Florian Micheler,19,Central Midfield,Austria,€500k,TSG 1899 Hoffenheim
Andrej Kramaric,33,Attacking Midfield,Croatia,€4.00m,TSG 1899 Hoffenheim
Bazoumana Touré,19,Left Winger,Cote d'Ivoire,€9.00m,TSG 1899 Hoffenheim
Marius Bülter,32,Left Winger,Germany,€2.50m,TSG 1899 Hoffenheim
Adam Hlozek,22,Second Striker,Czech Republic,€18.00m,TSG 1899 Hoffenheim
Gift Orban,22,Centre-Forward,Nigeria / Togo,€10.00m,TSG 1899 Hoffenheim
Max Moerstedt,19,Centre-Forward,Germany,€7.00m,TSG 1899 Hoffenheim
Haris Tabakovic,30,Centre-Forward,Bosnia-Herzegovina / Switzerland,€3.00m,TSG 1899 Hoffenheim
Erencan Yardımcı,23,Centre-Forward,Türkiye,€3.00m,TSG 1899 Hoffenheim
Ihlas Bebou,31,Centre-Forward,Togo / Germany,€2.80m,TSG 1899 Hoffenheim
David Mokwa,21,Centre-Forward,France / Cameroon,€1.00m,TSG 1899 Hoffenheim
Gregor Kobel,27,Goalkeeper,Switzerland,€40.00m,Borussia Dortmund
Marcel Lotka,23,Goalkeeper,Germany / Poland,€1.30m,Borussia Dortmund
Alexander Meyer,34,Goalkeeper,Germany,€800k,Borussia Dortmund
Silas Ostrzinski,21,Goalkeeper,Germany / Poland,€200k,Borussia Dortmund
Nico Schlotterbeck,25,Centre-Back,Germany,€40.00m,Borussia Dortmund
Waldemar Anton,28,Centre-Back,Germany,€18.00m,Borussia Dortmund
Niklas Süle,29,Centre-Back,Germany,€8.00m,Borussia Dortmund
Filippo Mané,20,Centre-Back,Italy / Senegal,€600k,Borussia Dortmund
Ramy Bensebaini,30,Left-Back,Algeria,€7.00m,Borussia Dortmund
Daniel Svensson,23,Left-Back,Sweden,€5.50m,Borussia Dortmund
Almugera Kabar,18,Left-Back,Germany / Libya,€1.00m,Borussia Dortmund
Yan Couto,22,Right-Back,Brazil / Portugal,€20.00m,Borussia Dortmund
Julian Ryerson,27,Right-Back,Norway / United States,€20.00m,Borussia Dortmund
Emre Can,31,Defensive Midfield,Germany / Türkiye,€7.00m,Borussia Dortmund
Salih Özcan,27,Defensive Midfield,Türkiye / Germany,€5.00m,Borussia Dortmund
Felix Nmecha,24,Central Midfield,Germany / England,€28.00m,Borussia Dortmund
Carney Chukwuemeka,21,Central Midfield,England / Nigeria,€15.00m,Borussia Dortmund
Marcel Sabitzer,31,Central Midfield,Austria,€10.00m,Borussia Dortmund
Pascal Groß,33,Central Midfield,Germany,€7.00m,Borussia Dortmund
Kjell Wätjen,19,Central Midfield,Germany,€2.00m,Borussia Dortmund
Julian Brandt,29,Attacking Midfield,Germany,€25.00m,Borussia Dortmund
Giovanni Reyna,22,Attacking Midfield,United States / Portugal,€10.00m,Borussia Dortmund
Jamie Gittens,20,Left Winger,England / Barbados,€50.00m,Borussia Dortmund
Julien Duranville,19,Left Winger,Belgium,€8.50m,Borussia Dortmund
Karim Adeyemi,23,Right Winger,Germany / Nigeria,€40.00m,Borussia Dortmund
