Name,Age,Position,Nationality,Market Value,Club Name
Jan Oblak,32,Goalkeeper,Slovenia,€25.00m,Atlético de Madrid
Juan Musso,31,Goalkeeper,Argentina / Italy,€4.00m,Atlético de Madrid
Robin Le Normand,28,Centre-Back,Spain / France,€40.00m,Atlético de Madrid
José María Giménez,30,Centre-Back,Uruguay / Spain,€20.00m,Atlético de Madrid
Clément Lenglet,29,Centre-Back,France,€7.50m,Atlético de Madrid
Axel Witsel,36,Centre-Back,Belgium / Martinique,€2.50m,Atlético de Madrid
César Azpilicueta,35,Centre-Back,Spain,€1.80m,Atlético de Madrid
Reinildo Mandava,31,Left-Back,Mozambique,€8.00m,Atlético de Madrid
Javi Galán,30,Left-Back,Spain,€4.00m,Atlético de Madrid
Nahuel Molina,27,Right-Back,Argentina,€25.00m,Atlético de Madrid
Pablo Barrios,21,Central Midfield,Spain,€50.00m,Atlético de Madrid
Conor Gallagher,25,Central Midfield,England / Ireland,€40.00m,Atlético de Madrid
Rodrigo De Paul,30,Central Midfield,Argentina / Italy,€25.00m,Atlético de Madrid
Koke,33,Central Midfield,Spain,€10.00m,Atlético de Madrid
Marcos Llorente,30,Right Midfield,Spain,€28.00m,Atlético de Madrid
Thomas Lemar,29,Attacking Midfield,France / Guadeloupe,€5.00m,Atlético de Madrid
Samuel Lino,25,Left Winger,Brazil,€25.00m,Atlético de Madrid
Rodrigo Riquelme,25,Left Winger,Spain,€18.00m,Atlético de Madrid
Giuliano Simeone,22,Right Winger,Argentina / Italy,€25.00m,Atlético de Madrid
Ángel Correa,30,Right Winger,Argentina / Spain,€15.00m,Atlético de Madrid
Julián Alvarez,25,Centre-Forward,Argentina / Italy,€90.00m,Atlético de Madrid
Alexander Sørloth,29,Centre-Forward,Norway,€25.00m,Atlético de Madrid
Antoine Griezmann,34,Centre-Forward,France,€22.00m,Atlético de Madrid
Iván Villar,27,Goalkeeper,Spain,€900k,Celta de Vigo
Vicente Guaita,38,Goalkeeper,Spain,€800k,Celta de Vigo
Javi Rodríguez,21,Centre-Back,Spain,€10.00m,Celta de Vigo
Carl Starfelt,29,Centre-Back,Sweden,€6.00m,Celta de Vigo
