Name,Age,Position,Nationality,Market Value,Club Name
Alban Lafont,26,Goalkeeper,France / Burkina Faso,€4.00m,FC Nantes
Anthony Lopes,34,Goalkeeper,Portugal / France,€1.50m,FC Nantes
Patrik Carlgren,33,Goalkeeper,Sweden,€800k,FC Nantes
Hugo Barbet,23,Goalkeeper,France,€100k,FC Nantes
Nathan Zézé,19,Centre-Back,France / Cote d'Ivoire,€12.00m,FC Nantes
Saïdou Sow,22,Centre-Back,Guinea / France,€6.00m,FC Nantes
Jean-Charles Castelletto,30,Centre-Back,Cameroon / France,€3.50m,FC Nantes
Nicolas Pallois,37,Centre-Back,France,€500k,FC Nantes
Nicolas Cozza,26,Left-Back,France / Italy,€3.50m,FC Nantes
Kelvin Amian,27,Right-Back,France / Cote d'Ivoire,€2.50m,FC Nantes
Fabien Centonze,29,Right-Back,France,€2.00m,FC Nantes
Marcus Coco,28,Right-Back,Guadeloupe / France,€1.50m,FC Nantes
Johann Lepenant,22,Defensive Midfield,France,€7.00m,FC Nantes
Pedro Chirivella,27,Defensive Midfield,Spain,€5.00m,FC Nantes
Francis Coquelin,34,Defensive Midfield,France / Réunion,€1.00m,FC Nantes
Douglas Augusto,28,Central Midfield,Brazil,€6.00m,FC Nantes
Dehmaine Tabibou,20,Central Midfield,France / Comoros,€100k,FC Nantes
Louis Leroux,19,Attacking Midfield,France,€2.00m,FC Nantes
Florent Mollet,33,Attacking Midfield,France,€1.50m,FC Nantes
Moses Simon,29,Left Winger,Nigeria,€12.00m,FC Nantes
Herba Guirassy,18,Left Winger,France / Guinea,€1.00m,FC Nantes
Sorba Thomas,26,Right Winger,Wales / England,€4.00m,FC Nantes
Matthis Abline,22,Centre-Forward,France,€12.00m,FC Nantes
Mostafa Mohamed,27,Centre-Forward,Egypt,€6.00m,FC Nantes
Meschack Elia,27,Centre-Forward,DR Congo,€5.00m,FC Nantes
Tino Kadewere,29,Centre-Forward,Zimbabwe,€3.00m,FC Nantes
Gerónimo Rulli,32,Goalkeeper,Argentina / Italy,€8.00m,Olympique Marseille
Jeffrey de Lange,27,Goalkeeper,Netherlands,€2.50m,Olympique Marseille
Rubén Blanco,29,Goalkeeper,Spain,€1.50m,Olympique Marseille
Jelle Van Neck,21,Goalkeeper,Belgium,€100k,Olympique Marseille
Leonardo Balerdi,26,Centre-Back,Argentina / Italy,€20.00m,Olympique Marseille
Luiz Felipe,28,Centre-Back,Italy / Brazil,€6.00m,Olympique Marseille
Derek Cornelius,27,Centre-Back,Canada / Jamaica,€5.00m,Olympique Marseille
Chancel Mbemba,30,Centre-Back,DR Congo,€3.00m,Olympique Marseille
Quentin Merlin,22,Left-Back,France,€12.00m,Olympique Marseille
Ulisses Garcia,29,Left-Back,Switzerland / Cape Verde,€4.00m,Olympique Marseille
Amar Dedic,22,Right-Back,Bosnia-Herzegovina,€15.00m,Olympique Marseille
Amir Murillo,29,Right-Back,Panama,€9.00m,Olympique Marseille
Pol Lirola,27,Right-Back,Spain,€4.00m,Olympique Marseille
Pierre-Emile Højbjerg,29,Defensive Midfield,Denmark / France,€20.00m,Olympique Marseille
Ismaël Bennacer,27,Defensive Midfield,Algeria / France,€15.00m,Olympique Marseille
Geoffrey Kondogbia,32,Defensive Midfield,Central African Republic / France,€8.00m,Olympique Marseille
Adrien Rabiot,30,Central Midfield,France,€25.00m,Olympique Marseille
Valentin Rongier,30,Central Midfield,France,€9.00m,Olympique Marseille
Bilal Nadir,21,Central Midfield,Morocco / France,€5.00m,Olympique Marseille
Amine Harit,27,Attacking Midfield,Morocco / France,€10.00m,Olympique Marseille
Darryl Bakola,17,Attacking Midfield,France / Congo,€200k,Olympique Marseille
Jonathan Rowe,22,Left Winger,England / Jamaica,€12.00m,Olympique Marseille
Mason Greenwood,23,Right Winger,England,€35.00m,Olympique Marseille
Luis Henrique,23,Right Winger,Brazil,€18.00m,Olympique Marseille
Amine Gouiri,25,Centre-Forward,Algeria / France,€20.00m,Olympique Marseille
Neal Maupay,28,Centre-Forward,France / Argentina,€10.00m,Olympique Marseille
Faris Moumbagna,24,Centre-Forward,Cameroon,€8.00m,Olympique Marseille
Brice Samba,31,Goalkeeper,France / Congo,€15.00m,Stade Rennais FC
Doğan Alemdar,22,Goalkeeper,Türkiye,€2.00m,Stade Rennais FC
Gauthier Gallon,32,Goalkeeper,France,€1.00m,Stade Rennais FC
Steve Mandanda,40,Goalkeeper,France / DR Congo,€700k,Stade Rennais FC
Geoffrey Lembet,36,Goalkeeper,Central African Republic / France,€150k,Stade Rennais FC
Lilian Brassier,25,Centre-Back,France / Togo,€10.00m,Stade Rennais FC
Anthony Rouault,23,Centre-Back,France,€10.00m,Stade Rennais FC
Alidu Seidu,24,Centre-Back,Ghana,€9.00m,Stade Rennais FC
Mikayil Faye,20,Centre-Back,Senegal,€8.00m,Stade Rennais FC
Christopher Wooh,23,Centre-Back,Cameroon / France,€7.00m,Stade Rennais FC
Jérémy Jacquet,19,Centre-Back,France / Guadeloupe,€5.00m,Stade Rennais FC
Adrien Truffert,23,Left-Back,France,€15.00m,Stade Rennais FC
Mahamadou Nagida,19,Left-Back,Cameroon,€1.00m,Stade Rennais FC
Lorenz Assignon,24,Right-Back,France / Togo,€9.00m,Stade Rennais FC
Hans Hateboer,31,Right-Back,Netherlands,€3.00m,Stade Rennais FC
Azor Matusiwa,27,Defensive Midfield,Netherlands / Angola,€10.00m,Stade Rennais FC
Seko Fofana,30,Central Midfield,Cote d'Ivoire / France,€12.00m,Stade Rennais FC
Ismaël Koné,22,Central Midfield,Canada / Cote d'Ivoire,€10.00m,Stade Rennais FC
Jordan James,20,Central Midfield,Wales / England,€8.00m,Stade Rennais FC
Naouirou Ahamada,23,Central Midfield,France / Comoros,€5.00m,Stade Rennais FC
Djaoui Cissé,21,Central Midfield,France / Mali,€5.00m,Stade Rennais FC
Ayanda Sishuba,20,Attacking Midfield,Belgium / France,€2.00m,Stade Rennais FC
Kazeem Olaigbe,22,Left Winger,Belgium / Nigeria,€4.00m,Stade Rennais FC
Ludovic Blas,27,Right Winger,France / Martinique,€18.00m,Stade Rennais FC
Mousa Tamari,27,Right Winger,Jordan,€6.00m,Stade Rennais FC
Carlos Andrés Gómez,22,Right Winger,Colombia,€5.00m,Stade Rennais FC
Arnaud Kalimuendo,23,Centre-Forward,France / DR Congo,€20.00m,Stade Rennais FC
Kyogo Furuhashi,30,Centre-Forward,Japan,€12.00m,Stade Rennais FC
Mohamed Kader Meïté,17,Centre-Forward,France / Cote d'Ivoire,€600k,Stade Rennais FC
Wilson Samaké,21,Centre-Forward,Mali / France,€150k,Stade Rennais FC
Mathew Ryan,33,Goalkeeper,Australia / Scotland,€2.50m,RC Lens
Hervé Koffi,28,Goalkeeper,Burkina Faso / Cote d'Ivoire,€1.50m,RC Lens
Denis Petric,36,Goalkeeper,Slovenia / Serbia,€100k,RC Lens
Facundo Medina,25,Centre-Back,Argentina,€25.00m,RC Lens
Malang Sarr,26,Centre-Back,France / Senegal,€5.00m,RC Lens
Jonathan Gradit,32,Centre-Back,France,€4.00m,RC Lens
Juma Bah,19,Centre-Back,Sierra Leone,€4.00m,RC Lens
Nidal Celik,18,Centre-Back,Bosnia-Herzegovina,€1.80m,RC Lens
Jhoanner Chávez,23,Left-Back,Ecuador,€4.00m,RC Lens
Deiver Machado,31,Left-Back,Colombia,€3.50m,RC Lens
Ruben Aguilar,32,Right-Back,France / Spain,€4.00m,RC Lens
Hamzat Ojediran,21,Defensive Midfield,Nigeria,€2.00m,RC Lens
Nampalys Mendy,32,Defensive Midfield,Senegal / France,€2.00m,RC Lens
Tom Pouilly,21,Defensive Midfield,France,€100k,RC Lens
Andy Diouf,21,Central Midfield,France / Senegal,€10.00m,RC Lens
Neil El Aynaoui,23,Central Midfield,Morocco / France,€10.00m,RC Lens
Anass Zaroury,24,Attacking Midfield,Morocco / Belgium,€8.00m,RC Lens
Angelo Fulgini,28,Attacking Midfield,France / Cote d'Ivoire,€6.00m,RC Lens
Adrien Thomasson,31,Attacking Midfield,France / Croatia,€5.00m,RC Lens
Jeremy Agbonifo,19,Right Winger,Sweden / Nigeria,€5.00m,RC Lens
M'Bala Nzola,28,Centre-Forward,Angola / France,€8.00m,RC Lens
Martín Satriano,24,Centre-Forward,Uruguay / Italy,€5.00m,RC Lens
Wesley Saïd,30,Centre-Forward,France / Comoros,€3.50m,RC Lens
Florian Sotoca,34,Centre-Forward,France,€2.50m,RC Lens
Rémy Labeau Lascary,22,Centre-Forward,Guadeloupe / France,€2.50m,RC Lens
Goduine Koyalipou,25,Centre-Forward,Central African Republic / France,€1.80m,RC Lens
Yehvann Diouf,25,Goalkeeper,Senegal / France,€9.00m,Stade Reims
Alexandre Olliero,29,Goalkeeper,France,€300k,Stade Reims
Ludovic Butelle,42,Goalkeeper,France,€100k,Stade Reims
Joseph Okumu,27,Centre-Back,Kenya,€7.00m,Stade Reims
Cédric Kipré,28,Centre-Back,Cote d'Ivoire / France,€3.00m,Stade Reims
