Name,Age,Position,Nationality,Market Value,Club Name
André Onana,29,Goalkeeper,Cameroon,€32.00m,Manchester United
Altay Bayındır,27,Goalkeeper,Türkiye,€10.00m,Manchester United
Tom Heaton,39,Goalkeeper,England,€250k,Manchester United
Leny Yoro,19,Centre-Back,France / Cote d'Ivoire,€55.00m,Manchester United
Lisandro Martínez,27,Centre-Back,Argentina,€45.00m,Manchester United
Matthijs de Ligt,25,Centre-Back,Netherlands,€40.00m,Manchester United
Harry Maguire,32,Centre-Back,England,€15.00m,Manchester United
Victor Lindelöf,30,Centre-Back,Sweden,€10.00m,Manchester United
Ayden Heaven,18,Centre-Back,England,€1.50m,Manchester United
Jonny Evans,37,Centre-Back,Northern Ireland,€1.50m,Manchester United
Patrick Dorgu,20,Left-Back,Denmark / Nigeria,€25.00m,Manchester United
Luke Shaw,29,Left-Back,England,€16.00m,Manchester United
Harry Amass,18,Left-Back,England,-,Manchester United
Diogo Dalot,26,Right-Back,Portugal,€35.00m,Manchester United
Noussair Mazraoui,27,Right-Back,Morocco / Netherlands,€32.00m,Manchester United
Manuel Ugarte,24,Defensive Midfield,Uruguay,€50.00m,Manchester United
Casemiro,33,Defensive Midfield,Brazil / Spain,€12.00m,Manchester United
Toby Collyer,21,Defensive Midfield,England,€5.00m,Manchester United
Kobbie Mainoo,20,Central Midfield,England / Ghana,€55.00m,Manchester United
Christian Eriksen,33,Central Midfield,Denmark,€6.00m,Manchester United
Bruno Fernandes,30,Attacking Midfield,Portugal,€55.00m,Manchester United
Alejandro Garnacho,20,Attacking Midfield,Argentina / Spain,€45.00m,Manchester United
Mason Mount,26,Attacking Midfield,England,€28.00m,Manchester United
Amad Diallo,22,Right Winger,Cote d'Ivoire / Italy,€40.00m,Manchester United
Rasmus Højlund,22,Centre-Forward,Denmark,€45.00m,Manchester United
Joshua Zirkzee,23,Centre-Forward,Netherlands / Nigeria,€35.00m,Manchester United
Chido Obi,17,Centre-Forward,Denmark / Nigeria,€5.00m,Manchester United
Kepa Arrizabalaga,30,Goalkeeper,Spain,€11.00m,AFC Bournemouth
Will Dennis,24,Goalkeeper,England,€350k,AFC Bournemouth
Dean Huijsen,20,Centre-Back,Spain / Netherlands,€42.00m,AFC Bournemouth
Ilya Zabarnyi,22,Centre-Back,Ukraine,€40.00m,AFC Bournemouth
Marcos Senesi,28,Centre-Back,Argentina / Italy,€24.00m,AFC Bournemouth
James Hill,23,Centre-Back,England,€2.00m,AFC Bournemouth
Matai Akinmboni,18,Centre-Back,United States / Nigeria,€1.00m,AFC Bournemouth
Max Kinsey,20,Centre-Back,England,-,AFC Bournemouth
Milos Kerkez,21,Left-Back,Hungary / Serbia,€35.00m,AFC Bournemouth
Julio Soler,20,Left-Back,Argentina / Paraguay,€8.00m,AFC Bournemouth
