Team,Top Goalscorer,Goals,Top Assister,Assists
FC Augsburg,Alexis Claude-Maurice,9.0,Jeffrey Gouweleeuw,4.0
Union Berlin,Benedict Hollerbach,9.0,Christopher Trimmel,3.0
VfL Bochum,Myron Boadu,9.0,Felix Passlack,6.0
Werder Bremen,Jens Stage,10.0,Mitchell Weiser,9.0
Borussia Dortmund,Serhou Guirassy,21.0,Julian Brandt,10.0
Eintracht Frankfurt,Hugo Ekitike,15.0,Omar Marmoush,9.0
SC Freiburg,Ritsu Doan,10.0,Vincenzo Grifo,11.0
1. FC Heidenheim,Marvin Pieringer,7.0,Marvin Pieringer,4.0
TSG Hoffenheim,Andrej Kramarić,11.0,Andrej Kramarić,8.0
Holstein Kiel,Shuto Machino,11.0,Finn Porath,3.0
RB Leipzig,Benjamin Šeško,13.0,Xavi Simons,6.0
Bayer Leverkusen,Patrik Schick,21.0,Florian Wirtz,12.0
Mainz 05,Jonathan Burkardt,18.0,Anthony Caci,7.0
Borussia Monchengladbach,Tim Kleindienst,16.0,Tim Kleindienst,7.0
Bayern Munich,Harry Kane,26.0,Michael Olise,15.0
FC St. Pauli,Morgan Guilavogui,6.0,Jackson Irvine,6.0
VfB Stuttgart,Ermedin Demirović,15.0,Angelo Stiller,8.0
VfL Wolfsburg,Mohamed Amoura,10.0,Mohamed Amoura,9.0
