Team,Top Goalscorer,Goals,Top Assister,Assists
Alaves,Kiké,13.0,Carlos Vicente,5.0
Athletic Bilbao,Oihan Sancet,15.0,Iñaki Williams,8.0
Atletico Madrid,Alexander Sørloth,17.0,Antoine Griezmann,7.0
Barcelona,Robert Lewandowski,25.0,Lamine Yamal,13.0
Celta Vigo,Borja Iglesias,10.0,Óscar Mingueza,6.0
Espanyol,Javi Puado,11.0,Álvaro Tejero,4.0
Getafe,Mauro Arambarri,10.0,Chrisantus Uche,5.0
Girona,Cristhian Stuani,11.0,Miguel Gutiérrez,5.0
Las Palmas,Fábio Silva,10.0,Oliver McBurnie,6.0
Leganes,Dani Raba,8.0,Dani Raba,6.0
Mallorca,Vedat Muriqi,7.0,Dani Rodríguez,7.0
Osasuna,Ante Budimir,21.0,Bryan Zaragoza,6.0
Rayo Vallecano,Jorge de Frutos,6.0,Álvaro García,5.0
Real Betis,Isco,9.0,Isco,7.0
Real Madrid,Kylian Mbappé,29.0,Jude Bellingham,8.0
Real Sociedad,Mikel Oyarzabal,9.0,Sergio Gómez,5.0
Sevilla,Dodi Lukebakio,11.0,Saúl Ñíguez,6.0
Valencia,Hugo Duro,11.0,Diego López,5.0
Valladolid,Mamadou Sylla,5.0,Raúl Moro,5.0
Villarreal,Ayoze Pérez,19.0,Alex Baena,9.0
