Team,Top Goalscorer,Goals,Top Assister,Assists
Angers SCO,Esteban Lepaul,9.0,Lilian Raolisoa,3.0
AJ Auxerre,Gaëtan Perrin,10.0,Gaëtan Perrin,11.0
Stade Brestois 29,Ludovic Ajorque,13.0,Mathias Pereira Lage,7.0
Le Havre AC,Abdoulaye Touré,10.0,Josué Casimir,4.0
RC Lens,Neil El Aynaoui,8.0,Adrien Thomasson,7.0
LOSC Lille,Jonathan David,16.0,Jonathan David,5.0
Olympique Lyonnais,Alexandre Lacazette,15.0,Rayan Cherki,11.0
Olympique de Marseille,Mason Greenwood,21.0,Luis Henrique,7.0
AS Monaco,Mika Biereth,13.0,Maghnes Akliouche,10.0
Montpellier HSC,Arnaud Nordin,4.0,Téji Savanier,5.0
FC Nantes,Matthis Abline,9.0,Moses Simon,10.0
OGC Nice,Evann Guessand,12.0,Jonathan Clauss,8.0
Paris Saint-Germain,Ousmane Dembélé,21.0,Bradley Barcola,10.0
Stade de Reims,Keito Nakamura,11.0,Junya Ito,3.0
Stade Rennais FC,Arnaud Kalimuendo,17.0,Ludovic Blas,8.0
AS Saint-Etienne,Lucas Stassin,12.0,Zuriko Davitashvili,8.0
RC Strasbourg Alsace,Emanuel Emegha,14.0,Dilane Bakwa,8.0
Toulouse FC,Zakaria Aboukhlal,7.0,Gabriel Suazo,6.0
