Team,Top Goalscorer,Goals,Top Assister,Assists
Arsenal,Kai Havertz,9.0,Bukayo Saka,10.0
Aston Villa,Ollie Watkins,16.0,Morgan Rogers,10.0
Bournemouth,Justin Kluivert,12.0,Justin Kluivert,6.0
Brentford,Bryan Mbeumo,19.0,Mikkel Damsgaard,10.0
Brighton & Hove Albion,Danny Welbeck,10.0,João Pedro,6.0
Chelsea,Cole Palmer,15.0,Cole Palmer,8.0
Crystal Palace,Jean-Philippe Mateta,14.0,Eberechi Eze,8.0
Everton,Iliman Ndiaye,9.0,Dwight McNeil,6.0
Fulham,Raúl Jiménez,12.0,Antonee Robinson,10.0
Ipswich Town,Liam Delap,12.0,Jack Clarke,4.0
Leicester City,Jamie Vardy,9.0,Wilfred Ndidi,5.0
Liverpool,Mohamed Salah,28.0,Mohamed Salah,18.0
Manchester City,Erling Haaland,21.0,Sávio,8.0
Manchester United,Bruno Fernandes,8.0,Bruno Fernandes,9.0
Newcastle United,Alexander Isak,23.0,Jacob Murphy,12.0
Nottingham Forest,Chris Wood,20.0,Anthony Elanga,11.0
Southampton,Paul Onuachu,4.0,Mateus Fernandes,3.0
Tottenham Hotspur,Brennan Johnson,11.0,Son Heung-min,9.0
West Ham United,Jarrod Bowen,12.0,Jarrod Bowen,7.0
Wolverhampton Wanderers,Matheus Cunha,15.0,Rayan Aït-Nouri,7.0
