Team,Top Goalscorer,Goals,Top Assister,Assists
Atalanta,Mateo Retegui,25.0,Raoul Bellanova,8.0
Bologna,Riccardo Orsolini,14.0,Juan Miranda,6.0
Cagliari,Roberto Piccoli,10.0,Tommaso Augello,7.0
Como,Assane Diao,8.0,Nicolás Paz,8.0
Empoli,Sebastiano Esposito,8.0,Liberato Cacace,4.0
Fiorentina,Moise Kean,18.0,Yacine Adli,6.0
Genoa,Andrea Pinamonti,10.0,Aarón Martín,7.0
Hellas Verona,Casper Tengstedt,6.0,Darko Lazović,3.0
Inter Milan,Marcus Thuram,14.0,Federico Dimarco,7.0
Juventus,Dušan Vlahović,10.0,Khéphren Thuram,5.0
Lazio,Pedro,10.0,Nuno Tavares,8.0
Lecce,Nikola Krstović,11.0,Nikola Krstović,4.0
AC Milan,Christian Pulisic,11.0,Christian Pulisic,9.0
Monza,Dany Mota,5.0,Giorgos Kyriakopoulos,4.0
Napoli,Romelu Lukaku,13.0,Romelu Lukaku,10.0
Parma,Ange-Yoan Bonny,6.0,Emanuele Valeri,6.0
Roma,Artem Dovbyk,12.0,Stephan El Shaarawy,4.0
Torino,Che Adams,9.0,Valentino Lazaro,6.0
Udinese,Lorenzo Lucca,11.0,Hassane Kamara,4.0
Venezia,Joel Pohjanpalo,6.0,Gaetano Oristanio,3.0
