Team,MP,GF,GA,GD,xG,xGA,xGD,Shots/90,SoT/90,Goals/Shot,Goals/SoT,Avg Shot Distance,Key Passes/90,Passes into Final Third/90,Passes into Penalty Area/90,Crosses into Penalty Area/90,Progressive Passes/90,Possession %,Tackles,Tackles Won,Challenges Attempted,Aerial Duel Win %
Bayern Munich,33,95,32,63,80.3,25.1,55.2,18.85,7.58,0.13,0.33,16.6,5.56,22.89,5.0,0.74,23.18,67.9,491,293,430,55.6
Leverkusen,33,70,41,29,55.6,33.2,22.5,14.94,5.39,0.13,0.37,16.8,4.24,17.67,3.52,0.91,18.64,59.4,387,253,348,52.5
Eint Frankfurt,33,65,45,20,63.1,47.3,15.8,14.21,5.03,0.13,0.37,16.4,3.83,11.32,3.38,0.61,14.77,50.0,545,331,495,52.3
Freiburg,33,48,50,-2,43.5,40.5,3.1,12.03,3.97,0.11,0.34,16.9,3.09,10.5,2.73,0.79,12.26,48.4,494,307,448,49.1
Dortmund,33,68,51,17,58.7,42.0,16.7,13.94,4.61,0.13,0.41,16.0,3.99,14.13,3.49,0.93,16.56,58.4,509,313,480,53.5
Mainz 05,33,53,41,12,47.1,46.9,0.2,12.06,4.15,0.12,0.35,16.4,3.42,11.23,3.28,0.98,13.88,50.4,549,316,437,47.0
RB Leipzig,33,51,45,6,45.5,50.8,-5.3,12.03,4.21,0.12,0.33,16.7,3.42,12.28,3.31,0.57,14.57,52.3,529,326,512,52.7
Werder Bremen,33,50,56,-6,46.9,46.5,0.4,12.48,4.03,0.11,0.35,16.0,3.51,10.28,3.6,0.99,14.67,50.0,534,311,503,50.2
Stuttgart,33,61,51,10,59.7,45.8,13.9,13.64,5.0,0.12,0.34,15.8,3.97,14.08,4.01,0.97,16.28,57.4,465,274,464,50.7
Gladbach,33,55,56,-1,49.6,61.7,-12.1,12.03,4.55,0.12,0.33,16.3,3.29,9.01,2.93,0.99,11.76,49.3,488,274,459,52.9
Augsburg,33,34,49,-15,33.0,48.1,-15.1,11.45,3.33,0.09,0.3,17.5,3.12,9.57,2.64,0.82,12.34,43.8,451,290,421,51.5
Wolfsburg,33,55,54,1,45.8,51.6,-5.7,12.58,3.97,0.12,0.37,17.2,3.36,10.82,2.64,0.58,13.01,46.2,478,296,530,48.0
Union Berlin,33,33,50,-17,36.2,46.1,-9.8,12.39,3.55,0.08,0.26,16.6,3.21,8.58,2.62,0.82,11.39,40.0,520,309,494,49.5
St. Pauli,33,28,39,-11,34.5,44.0,-9.5,11.12,3.24,0.07,0.23,17.3,3.0,9.48,2.16,0.76,11.5,43.8,534,313,503,44.7
Hoffenheim,33,46,64,-18,42.2,54.3,-12.1,13.15,4.42,0.1,0.29,17.7,3.53,11.3,3.26,1.2,13.24,49.2,552,326,497,49.1
Heidenheim,33,36,60,-24,38.7,55.4,-16.7,11.42,3.52,0.08,0.27,17.3,3.1,8.66,2.47,0.9,10.31,43.2,601,347,549,46.0
Holstein Kiel,33,49,77,-28,39.1,58.6,-19.5,11.03,3.97,0.12,0.34,17.8,2.92,7.46,2.0,0.77,9.58,44.1,524,317,507,47.1
Bochum,33,31,67,-36,40.5,62.4,-21.9,12.85,3.85,0.07,0.23,17.7,3.33,9.37,2.53,0.83,11.76,45.6,579,348,562,52.9
