Team,MP,GF,GA,GD,xG,xGA,xGD,Shots/90,SoT/90,Goals/Shot,Goals/SoT,Avg Shot Distance,Key Passes/90,Passes into Final Third/90,Passes into Penalty Area/90,Crosses into Penalty Area/90,Progressive Passes/90,Possession %,Tackles,Tackles Won,Challenges Attempted,Aerial Duel Win %
Barcelona,35,95,36,59,86.0,37.6,48.4,17.77,6.4,0.14,0.38,17.0,5.21,20.39,5.03,0.81,22.78,67.9,494,304,469,53.4
Real Madrid,35,72,37,35,68.1,40.9,27.2,15.74,5.83,0.11,0.3,17.9,4.93,17.78,3.47,0.29,19.66,60.0,540,334,442,56.2
Atlético Madrid,35,60,27,33,55.8,31.9,23.9,11.86,4.2,0.13,0.37,17.2,3.44,12.57,3.58,0.99,15.66,52.4,572,347,587,51.4
Athletic Club,35,51,26,25,49.5,33.4,16.1,12.4,4.03,0.11,0.33,17.5,3.69,13.41,2.88,0.94,16.36,48.7,547,322,541,48.9
Villarreal,35,61,47,14,60.4,40.5,19.9,14.11,4.4,0.11,0.35,16.0,4.37,12.04,3.86,1.07,15.92,48.3,608,371,564,55.1
Betis,35,53,43,10,51.6,43.9,7.7,13.8,4.66,0.09,0.28,18.0,4.31,11.39,3.41,0.79,15.18,52.6,600,369,599,49.5
Celta Vigo,36,56,54,2,50.3,41.7,8.6,11.22,4.28,0.12,0.31,17.9,3.47,14.91,3.13,0.56,17.37,53.1,520,319,539,45.5
Rayo Vallecano,35,37,42,-5,40.9,44.8,-3.9,13.14,4.17,0.07,0.23,19.2,3.7,11.11,2.41,0.84,13.92,51.9,586,367,613,47.5
Mallorca,35,33,40,-7,37.2,40.4,-3.2,10.34,2.91,0.08,0.27,16.2,2.99,9.9,2.52,1.19,12.2,46.7,538,335,451,52.5
Osasuna,35,43,51,-8,40.6,49.6,-9.0,10.43,3.2,0.09,0.29,16.8,2.96,10.01,2.59,1.24,12.59,46.2,579,345,579,54.9
Valencia,35,43,51,-8,41.2,48.1,-6.9,10.2,3.11,0.1,0.34,17.3,2.93,11.61,2.62,0.93,13.94,47.8,601,387,537,44.9
Real Sociedad,36,32,42,-10,39.6,39.1,0.5,10.06,3.19,0.08,0.24,17.6,2.99,11.47,2.58,0.68,14.24,54.3,616,385,549,48.9
Girona,36,42,53,-11,40.1,45.7,-5.6,10.72,3.56,0.1,0.29,17.7,3.32,15.76,3.24,0.94,18.11,56.9,529,330,521,48.3
Sevilla,36,40,49,-9,40.5,44.3,-3.8,12.47,3.92,0.08,0.25,18.7,3.71,11.38,2.13,0.62,12.46,50.8,616,369,520,55.1
Getafe,35,31,34,-3,34.4,43.2,-8.8,11.51,3.31,0.06,0.22,19.4,3.04,10.13,2.33,1.06,10.32,42.6,600,362,610,51.3
Espanyol,35,38,47,-9,30.3,51.4,-21.1,9.11,2.54,0.1,0.36,18.4,2.57,7.79,2.04,0.81,10.16,39.7,594,367,552,49.5
Alavés,35,35,47,-12,37.7,43.0,-5.3,10.2,3.2,0.08,0.26,17.4,2.86,10.0,2.34,1.06,12.02,45.3,680,416,671,48.0
Leganés,35,35,53,-18,31.4,56.8,-25.5,8.43,2.69,0.1,0.31,19.8,2.23,7.66,1.84,0.46,10.28,42.1,583,354,547,43.3
Las Palmas,36,40,58,-18,35.2,63.1,-27.9,10.75,3.53,0.09,0.28,19.2,3.2,11.2,2.68,0.89,12.7,50.1,595,356,582,48.2
Valladolid,36,26,86,-60,32.6,64.1,-31.4,8.83,2.61,0.07,0.22,18.1,2.71,7.92,1.87,0.96,10.53,42.6,560,333,537,50.4
