Team,MP,GF,GA,GD,xG,xGA,xGD,Shots/90,SoT/90,Goals/Shot,Goals/SoT,Avg Shot Distance,Key Passes/90,Passes into Final Third/90,Passes into Penalty Area/90,Crosses into Penalty Area/90,Progressive Passes/90,Possession %,Tackles,Tackles Won,Challenges Attempted,Aerial Duel Win %
Napoli,36,57,27,30,50.2,29.0,21.1,13.17,3.94,0.11,0.35,16.3,4.14,12.93,3.31,0.79,16.2,53.8,517,310,455,53.6
Inter,36,75,33,42,64.4,33.1,31.2,15.11,4.72,0.12,0.38,16.3,4.68,14.37,4.33,1.28,18.33,59.8,479,273,429,58.8
Atalanta,36,73,32,41,61.8,34.9,26.9,14.28,4.75,0.13,0.39,14.9,4.48,14.73,4.2,1.21,19.39,55.6,544,328,485,55.4
Juventus,36,53,33,20,47.4,32.8,14.6,13.08,4.56,0.1,0.28,17.4,4.0,14.73,3.12,0.71,16.46,57.1,572,330,448,49.6
Lazio,36,59,46,13,53.3,36.2,17.1,13.64,4.86,0.11,0.3,17.8,4.22,14.41,3.32,0.97,16.57,54.9,502,308,482,49.5
Roma,36,51,34,17,50.0,39.0,11.0,13.47,4.22,0.09,0.28,17.9,4.1,13.14,3.27,0.83,15.51,53.9,529,314,425,48.3
Bologna,36,54,41,13,46.1,34.0,12.1,13.17,4.39,0.1,0.3,17.5,3.98,14.29,3.04,1.13,15.34,58.0,565,332,515,48.0
Milan,36,58,40,18,60.8,39.9,20.9,14.5,4.89,0.1,0.3,17.9,4.61,12.67,3.51,0.81,16.79,54.0,524,335,454,52.4
Fiorentina,36,54,37,17,44.4,39.0,5.4,11.33,4.17,0.11,0.31,18.2,3.47,10.26,2.62,0.79,13.14,50.3,507,301,470,51.0
Como,36,48,49,-1,43.4,40.2,3.3,13.58,4.64,0.09,0.26,17.9,4.23,12.02,2.98,0.63,14.36,54.6,641,398,568,49.2
Torino,36,39,42,-3,33.6,47.7,-14.0,10.06,3.19,0.09,0.3,18.4,2.9,9.99,2.64,0.87,11.66,47.3,444,247,417,48.2
Udinese,36,39,51,-12,36.4,48.2,-11.8,11.42,3.67,0.09,0.28,17.7,3.31,10.44,2.62,1.12,12.47,47.8,537,332,478,53.1
Genoa,36,32,45,-13,35.1,44.5,-9.4,10.17,3.03,0.08,0.28,17.8,3.03,7.91,2.12,0.81,10.5,45.5,645,371,537,49.0
Cagliari,36,37,54,-17,41.0,52.3,-11.3,11.03,3.03,0.08,0.29,15.9,3.17,9.66,2.5,0.96,12.19,45.3,508,283,421,50.0
Hellas Verona,36,31,64,-33,31.6,51.8,-20.2,9.75,2.5,0.07,0.29,17.7,2.91,8.89,2.07,0.66,10.77,39.1,632,404,561,48.8
Parma,36,41,56,-15,40.2,54.8,-14.6,10.94,3.5,0.09,0.27,19.4,3.32,9.37,2.28,0.64,11.14,44.5,494,275,456,49.4
Venezia,36,30,50,-20,34.4,54.0,-19.6,9.97,3.17,0.07,0.22,18.4,2.97,8.3,2.24,0.6,11.0,44.8,574,349,549,44.0
Lecce,36,25,58,-33,33.4,54.8,-21.4,11.97,3.11,0.05,0.2,19.4,3.4,9.02,2.41,1.0,11.46,44.3,613,362,564,51.2
Empoli,36,29,56,-27,30.3,48.2,-17.8,9.53,2.72,0.08,0.27,19.1,2.83,8.32,2.21,0.76,10.49,41.2,668,383,523,45.1
Monza,36,27,64,-37,28.4,52.0,-23.6,8.75,2.58,0.07,0.25,18.1,2.6,9.17,2.04,0.77,11.34,48.1,541,304,484,48.3
